TEXTURE,TEXTURE_CODE,TEXTURE_QUALIFIER,DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,N_CODES,FINAL_RANK
GR-,GR,-,gravel,gravel,gravel,gravel,gravel,1,1
GR,GR,NA,gravel,gravel,gravel,gravel,gravel,35,2
ST,ST,NA,stones,gravel,gravel,gravel,gravel,2,3
GR+,GR,+,gravel,gravel,gravel,gravel,gravel,2,4
KS-,KS,-,coarse sand,sand,sand,"sand, coarse","light sand, coarse",1,5
KSA,KS,A,coarse sand,sand,sand,"sand, coarse","sapric sand, coarse",2,6
KS,KS,NA,coarse sand,sand,sand,"sand, coarse","sand, coarse",4178,7
KSS,KSS,NA,coarse pure sand,sand,sand,"sand, coarse","sand, coarse",1,8
KSI,KS,I,coarse sand,sand,sand,"sand, coarse","fibric sand, coarse",4,9
KS+,KS,+,coarse sand,sand,sand,"sand, coarse","heavy sand, coarse",63,10
S-,S,-,sand,sand,sand,"sand, medium","light sand, medium",3,11
SA,S,A,sand,sand,sand,"sand, medium","sapric sand, medium",11,12
MS,MS,NA,medium sand,sand,sand,"sand, medium","sand, medium",24,13
S,S,NA,sand,sand,sand,"sand, medium","sand, medium",9999,14
SS,SS,NA,pure sand,sand,sand,"sand, medium","sand, medium",5,15
SI,S,I,sand,sand,sand,"sand, medium","fibric sand, medium",7,16
S+,S,+,sand,sand,sand,"sand, medium","heavy sand, medium",134,17
FS-,FS,-,fine sand,sand,sand,"sand, fine","light sand, fine",1,18
FS,FS,NA,fine sand,sand,sand,"sand, fine","sand, fine",2676,19
FSI,FS,I,fine sand,sand,sand,"sand, fine","fibric sand, fine",4,20
FS+,FS,+,fine sand,sand,sand,"sand, fine","heavy sand, fine",5,21
LKS-,LKS,-,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","light loamy sand, coarse",69,22
LKSA,LKS,A,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","sapric loamy sand, coarse",13,23
LKS,LKS,NA,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","loamy sand, coarse",2101,24
LKS+,LKS,+,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","heavy loamy sand, coarse",62,25
LMS-,LMS,-,loamy medium sand,sand,loamy sand,"loamy sand, medium","light loamy sand, medium",1,26
LS-,LS,-,loamy sand,sand,loamy sand,"loamy sand, medium","light loamy sand, medium",210,27
LSA,LS,A,loamy sand,sand,loamy sand,"loamy sand, medium","sapric loamy sand, medium",43,28
LMS,LMS,NA,loamy medium sand,sand,loamy sand,"loamy sand, medium","loamy sand, medium",2,29
LS,LS,NA,loamy sand,sand,loamy sand,"loamy sand, medium","loamy sand, medium",13188,30
LSI,LS,I,loamy sand,sand,loamy sand,"loamy sand, medium","fibric loamy sand, medium",9,31
LS+,LS,+,loamy sand,sand,loamy sand,"loamy sand, medium","heavy loamy sand, medium",404,32
LFS-,LFS,-,loamy fine sand,sand,loamy sand,"loamy sand, fine","light loamy sand, fine",30,33
LFSA,LFS,A,loamy fine sand,sand,loamy sand,"loamy sand, fine","sapric loamy sand, fine",6,34
LFS,LFS,NA,loamy fine sand,sand,loamy sand,"loamy sand, fine","loamy sand, fine",2671,35
LFSI,LFS,I,loamy fine sand,sand,loamy sand,"loamy sand, fine","fibric loamy sand, fine",3,36
LFS+,LFS,+,loamy fine sand,sand,loamy sand,"loamy sand, fine","heavy loamy sand, fine",134,37
CKS-,CKS,-,clayey coarse sand,sand,clayey sand,"clayey sand, coarse","light clayey sand, coarse",12,38
CKSA,CKS,A,clayey coarse sand,sand,clayey sand,"clayey sand, coarse","sapric clayey sand, coarse",1,39
CKS,CKS,NA,clayey coarse sand,sand,clayey sand,"clayey sand, coarse","clayey sand, coarse",1112,40
CKSI,CKS,I,clayey coarse sand,sand,clayey sand,"clayey sand, coarse","fibric clayey sand, coarse",2,41
CKS+,CKS,+,clayey coarse sand,sand,clayey sand,"clayey sand, coarse","heavy clayey sand, coarse",32,42
CS-,CS,-,clayey sand,sand,clayey sand,"clayey sand, medium","light clayey sand, medium",82,43
CSA,CS,A,clayey sand,sand,clayey sand,"clayey sand, medium","sapric clayey sand, medium",5,44
CS,CS,NA,clayey sand,sand,clayey sand,"clayey sand, medium","clayey sand, medium",3365,45
CSI,CS,I,clayey sand,sand,clayey sand,"clayey sand, medium","fibric clayey sand, medium",3,46
CS+,CS,+,clayey sand,sand,clayey sand,"clayey sand, medium","heavy clayey sand, medium",153,47
CFS-,CFS,-,clayey fine sand,sand,clayey sand,"clayey sand, fine","light clayey sand, fine",12,48
CFS,CFS,NA,clayey fine sand,sand,clayey sand,"clayey sand, fine","clayey sand, fine",534,49
CFS+,CFS,+,clayey fine sand,sand,clayey sand,"clayey sand, fine","heavy clayey sand, fine",23,50
GP,GP,NA,granular peat,peat,peat,"peat, coarse","peat, coarse",1,51
IP,IP,NA,fibric peat,peat,peat,"peat, coarse","peat, coarse",131,52
IPI,IP,I,fibric peat,peat,peat,"peat, coarse","peat, coarse",2,53
HP,HP,NA,hemic peat,peat,peat,"peat, medium","peat, medium",66,54
HPI,HP,I,hemic peat,peat,peat,"peat, medium","peat, medium",1,55
APA,AP,A,sapric peat,peat,peat,"peat, fine","peat, fine",1,56
AP,AP,NA,sapric peat,peat,peat,"peat, fine","peat, fine",102,57
SP,SP,NA,sandy peat,peat,mineral peat,"mineral peat, coarse","mineral peat, coarse",9,58
LP,LP,NA,loamy peat,peat,mineral peat,"mineral peat, medium","mineral peat, medium",28,59
CP,CP,NA,clayey peat,peat,mineral peat,"mineral peat, fine","mineral peat, fine",2,60
KSL-,KSL,-,coarse sandy loam,loam,sandy loam,"sandy loam, coarse","light sandy loam, coarse",115,61
KSLA,KSL,A,coarse sandy loam,loam,sandy loam,"sandy loam, coarse","sapric sandy loam, coarse",3,62
KSL,KSL,NA,coarse sandy loam,loam,sandy loam,"sandy loam, coarse","sandy loam, coarse",1995,63
KSLI,KSL,I,coarse sandy loam,loam,sandy loam,"sandy loam, coarse","fibric sandy loam, coarse",6,64
KSL+,KSL,+,coarse sandy loam,loam,sandy loam,"sandy loam, coarse","heavy sandy loam, coarse",124,65
SL-,SL,-,sandy loam,loam,sandy loam,"sandy loam, medium","light sandy loam, medium",746,66
SLA,SL,A,sandy loam,loam,sandy loam,"sandy loam, medium","sapric sandy loam, medium",54,67
SL,SL,NA,sandy loam,loam,sandy loam,"sandy loam, medium","sandy loam, medium",15076,68
SLI,SL,I,sandy loam,loam,sandy loam,"sandy loam, medium","fibric sandy loam, medium",38,69
SL+,SL,+,sandy loam,loam,sandy loam,"sandy loam, medium","heavy sandy loam, medium",1170,70
FSL-,FSL,-,fine sandy loam,loam,sandy loam,"sandy loam, fine","light sandy loam, fine",248,71
FSLA,FSL,A,fine sandy loam,loam,sandy loam,"sandy loam, fine","sapric sandy loam, fine",10,72
FSL,FSL,NA,fine sandy loam,loam,sandy loam,"sandy loam, fine","sandy loam, fine",6721,73
FSLZ,FSLZ,NA,fine sandy loam; silty,loam,sandy loam,"sandy loam, fine","sandy loam, fine",1,74
SLZ,SLZ,NA,sandy loam; silty,loam,sandy loam,"sandy loam, fine","sandy loam, fine",3,75
FSLI,FSL,I,fine sandy loam,loam,sandy loam,"sandy loam, fine","fibric sandy loam, fine",13,76
FSL+,FSL,+,fine sandy loam,loam,sandy loam,"sandy loam, fine","heavy sandy loam, fine",444,77
LSY-,LSY,-,loam; sandy,loam,loam,"loam, sandy","light loam, sandy",1,78
LSY,LSY,NA,loam; sandy,loam,loam,"loam, sandy","loam, sandy",33,79
LSY+,LSY,+,loam; sandy,loam,loam,"loam, sandy","heavy loam, sandy",1,80
LFSY-,LFSY,-,loam; fine sandy,loam,loam,"loam, sandy, fine","light loam, sandy, fine",49,81
LFSY,LFSY,NA,loam; fine sandy,loam,loam,"loam, sandy, fine","loam, sandy, fine",3555,82
LFSYZ,LFSYZ,NA,loam; fine sandy; silty,loam,loam,"loam, sandy, fine","loam, sandy, fine",6,83
LFSYI,LFSY,I,loam; fine sandy,loam,loam,"loam, sandy, fine","fibric loam, sandy, fine",1,84
LFSY+,LFSY,+,loam; fine sandy,loam,loam,"loam, sandy, fine","heavy loam, sandy, fine",172,85
L-,L,-,loam,loam,loam,loam,light loam,24,86
LA,L,A,loam,loam,loam,loam,sapric loam,93,87
L,L,NA,loam,loam,loam,loam,loam,1968,88
LI,L,I,loam,loam,loam,loam,fibric loam,106,89
L+,L,+,loam,loam,loam,loam,heavy loam,205,90
ZL-,ZL,-,silty loam,loam,silty loam,silty loam,light silty loam,11,91
ZLA,ZL,A,silty loam,loam,silty loam,silty loam,sapric silty loam,7,92
ZL,ZL,NA,silty loam,loam,silty loam,silty loam,silty loam,850,93
ZLI,ZL,I,silty loam,loam,silty loam,silty loam,fibric silty loam,35,94
ZL+,ZL,+,silty loam,loam,silty loam,silty loam,heavy silty loam,51,95
KSCL-,KSCL,-,coarse sandy clay loam,loam,sandy clay loam,"sandy clay loam, coarse","light sandy clay loam, coarse",366,96
KSCLA,KSCL,A,coarse sandy clay loam,loam,sandy clay loam,"sandy clay loam, coarse","sapric sandy clay loam, coarse",6,97
KSCL,KSCL,NA,coarse sandy clay loam,loam,sandy clay loam,"sandy clay loam, coarse","sandy clay loam, coarse",1524,98
KSCLI,KSCL,I,coarse sandy clay loam,loam,sandy clay loam,"sandy clay loam, coarse","fibric sandy clay loam, coarse",5,99
KSCL+,KSCL,+,coarse sandy clay loam,loam,sandy clay loam,"sandy clay loam, coarse","heavy sandy clay loam, coarse",120,100
MSCL-,MSCL,-,medium sandy clay loam,loam,sandy clay loam,"sandy clay loam, medium","light sandy clay loam, medium",2,101
SCL-,SCL,-,sandy clay loam,loam,sandy clay loam,"sandy clay loam, medium","light sandy clay loam, medium",3663,102
SCLA,SCL,A,sandy clay loam,loam,sandy clay loam,"sandy clay loam, medium","sapric sandy clay loam, medium",60,103
SCL,SCL,NA,sandy clay loam,loam,sandy clay loam,"sandy clay loam, medium","sandy clay loam, medium",17080,104
SCLI,SCL,I,sandy clay loam,loam,sandy clay loam,"sandy clay loam, medium","fibric sandy clay loam, medium",48,105
SCL+,SCL,+,sandy clay loam,loam,sandy clay loam,"sandy clay loam, medium","heavy sandy clay loam, medium",1503,106
FSCL-,FSCL,-,fine sandy clay loam,loam,sandy clay loam,"sandy clay loam, fine","light sandy clay loam, fine",809,107
SCLFS-,SCLFS,-,sandy clay loam; fine sandy,loam,sandy clay loam,"sandy clay loam, fine","light sandy clay loam, fine",10,108
FSCLA,FSCL,A,fine sandy clay loam,loam,sandy clay loam,"sandy clay loam, fine","sapric sandy clay loam, fine",22,109
FSCL,FSCL,NA,fine sandy clay loam,loam,sandy clay loam,"sandy clay loam, fine","sandy clay loam, fine",8080,110
FSCLZ,FSCLZ,NA,fine sandy clay loam; silty,loam,sandy clay loam,"sandy clay loam, fine","sandy clay loam, fine",10,111
SCLFS,SCLFS,NA,sandy clay loam; fine sandy,loam,sandy clay loam,"sandy clay loam, fine","sandy clay loam, fine",179,112
FSCLI,FSCL,I,fine sandy clay loam,loam,sandy clay loam,"sandy clay loam, fine","fibric sandy clay loam, fine",23,113
FSCL+,FSCL,+,fine sandy clay loam,loam,sandy clay loam,"sandy clay loam, fine","heavy sandy clay loam, fine",448,114
FSCLZ+,FSCLZ,+,fine sandy clay loam; silty,loam,sandy clay loam,"sandy clay loam, fine","heavy sandy clay loam, fine",3,115
SCLFS+,SCLFS,+,sandy clay loam; fine sandy,loam,sandy clay loam,"sandy clay loam, fine","heavy sandy clay loam, fine",8,116
CLKS-,CLKS,-,"clay loam, coarse sandy",clay loam,"clay loam, sandy","clay loam, sandy, coarse","light clay loam, sandy, coarse",44,117
CLKSA,CLKS,A,"clay loam, coarse sandy",clay loam,"clay loam, sandy","clay loam, sandy, coarse","sapric clay loam, sandy, coarse",1,118
CLKS,CLKS,NA,"clay loam, coarse sandy",clay loam,"clay loam, sandy","clay loam, sandy, coarse","clay loam, sandy, coarse",790,119
CLKSI,CLKS,I,"clay loam, coarse sandy",clay loam,"clay loam, sandy","clay loam, sandy, coarse","fibric clay loam, sandy, coarse",1,120
CLKS+,CLKS,+,"clay loam, coarse sandy",clay loam,"clay loam, sandy","clay loam, sandy, coarse","heavy clay loam, sandy, coarse",62,121
CLS-,CLS,-,"clay loam, sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","light clay loam, sandy, medium",182,122
CLSA,CLS,A,"clay loam, sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","sapric clay loam, sandy, medium",35,123
CLMS,CLMS,NA,"clay loam, medium sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","clay loam, sandy, medium",7,124
CLS,CLS,NA,"clay loam, sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","clay loam, sandy, medium",6173,125
CLSI,CLS,I,"clay loam, sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","fibric clay loam, sandy, medium",13,126
CLMS+,CLMS,+,"clay loam, medium sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","heavy clay loam, sandy, medium",3,127
CLS+,CLS,+,"clay loam, sandy",clay loam,"clay loam, sandy","clay loam, sandy, medium","heavy clay loam, sandy, medium",394,128
CLFS-,CLFS,-,"clay loam, fine sandy",clay loam,"clay loam, sandy","clay loam, sandy, fine","light clay loam, sandy, fine",716,129
CLFSZ-,CLFSZ,-,clay loam; fine sandy; silty,clay loam,"clay loam, sandy","clay loam, sandy, fine","light clay loam, sandy, fine",1,130
CLFSA,CLFS,A,"clay loam, fine sandy",clay loam,"clay loam, sandy","clay loam, sandy, fine","sapric clay loam, sandy, fine",41,131
CLFS,CLFS,NA,"clay loam, fine sandy",clay loam,"clay loam, sandy","clay loam, sandy, fine","clay loam, sandy, fine",12466,132
CLFSZ,CLFSZ,NA,clay loam; fine sandy; silty,clay loam,"clay loam, sandy","clay loam, sandy, fine","clay loam, sandy, fine",14,133
CLFSI,CLFS,I,"clay loam, fine sandy",clay loam,"clay loam, sandy","clay loam, sandy, fine","fibric clay loam, sandy, fine",8,134
CLFS+,CLFS,+,"clay loam, fine sandy",clay loam,"clay loam, sandy","clay loam, sandy, fine","heavy clay loam, sandy, fine",942,135
CLFSZ+,CLFSZ,+,clay loam; fine sandy; silty,clay loam,"clay loam, sandy","clay loam, sandy, fine","heavy clay loam, sandy, fine",4,136
ZCL-,ZCL,-,silty clay loam,clay loam,"clay loam, silty","clay loam, silty","light clay loam, silty",134,137
ZCLA,ZCL,A,silty clay loam,clay loam,"clay loam, silty","clay loam, silty","sapric clay loam, silty",36,138
CLZ,CLZ,NA,clay loam; silty,clay loam,"clay loam, silty","clay loam, silty","clay loam, silty",27,139
ZCL,ZCL,NA,silty clay loam,clay loam,"clay loam, silty","clay loam, silty","clay loam, silty",3521,140
ZCLI,ZCL,I,silty clay loam,clay loam,"clay loam, silty","clay loam, silty","fibric clay loam, silty",41,141
CLZ+,CLZ,+,clay loam; silty,clay loam,"clay loam, silty","clay loam, silty","heavy clay loam, silty",4,142
ZCL+,ZCL,+,silty clay loam,clay loam,"clay loam, silty","clay loam, silty","heavy clay loam, silty",303,143
CL-,CL,-,clay loam,clay loam,clay loam,clay loam,light clay loam,587,144
CLA,CL,A,clay loam,clay loam,clay loam,clay loam,sapric clay loam,192,145
CL,CL,NA,clay loam,clay loam,clay loam,clay loam,clay loam,15395,146
CLI,CL,I,clay loam,clay loam,clay loam,clay loam,fibric clay loam,174,147
CL+,CL,+,clay loam,clay loam,clay loam,clay loam,heavy clay loam,2425,148
KSC-,KSC,-,coarse sandy; clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",30,149
KSLC-,KSLC,-,coarse sandy light clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",46,150
KSCA,KSC,A,coarse sandy; clay,clay,light clay,"light clay, sandy, coarse","sapric light clay, sandy, coarse",3,151
CSC,CSC,NA,coarse sandy clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",6,152
KSC,KSC,NA,coarse sandy; clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",514,153
KSLC,KSLC,NA,coarse sandy light clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",1326,154
LCKS,LCKS,NA,light clay; coarse sandy,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",52,155
KSLCI,KSLC,I,coarse sandy light clay,clay,light clay,"light clay, sandy, coarse","fibric light clay, sandy, coarse",5,156
KSC+,KSC,+,coarse sandy; clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",16,157
KSLC+,KSLC,+,coarse sandy light clay,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",36,158
LCKS+,LCKS,+,light clay; coarse sandy,clay,light clay,"light clay, sandy, coarse","light clay, sandy, coarse",1,159
